gene.name,SGDID,GeneSymbol,GeneLength,BiologicalProcess,MolecularFunction,CellularComponent,essentiality,Degree40,Closeness40,Cluster.coeff40,color40,Degree50,Closeness50,Cluster.coeff50,color50,Degree65,Closeness65,Cluster.coeff65,color65,Degree70,Closeness70,Cluster.coeff70,Degree85,Closeness85,Cluster.coeff85,color85,Degree90,Closeness90,Cluster.coeff90,color90,Betweenness85,cln3.1,clb2.1,alpha0,alpha14,alpha21,alpha28,alpha35,alpha42,alpha49,alpha56,alpha63,alpha70,alpha77,alpha84,alpha98,alpha105,alpha112,alpha119,cdc28_0,cdc28_10,cdc28_20,cdc28_30,cdc28_40,cdc28_50,cdc28_60,cdc28_70,cdc28_80,cdc28_90,cdc28_100,cdc28_120,elu0,elu30,elu60,elu90,elu120,elu150,elu180,elu210,elu240,elu270,elu300,elu330,elu360,elu390
YCR106W,S000000703,RDS1,2499,response to xenobiotic stimulus,transcription factor activity,NA,0,488,0.5140764,0.0806039,blue,130,0.4246575,0.070125224,grey,2,0.1735589,0,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,0.48,-0.14,-0.28,-0.19,-0.3,0.08,-0.46,0.29,0.15,0.22,0.55,-0.03,0.22,-0.11,0.28,-0.19,0.02,-0.13,-0.23,-0.59,-0.15,0,0.25,0.25,0.49,0.35,-0.06,-0.19,0.16,-0.16,0.02,0.93,-0.01,0.11,NA,0.23,0.17,-0.13,-0.01,0.04,-0.64,-0.5,-0.06
YCR107W,S000000704,AAD3,1092,aldehyde metabolism,aryl-alcohol dehydrogenase activity,NA,0,606,0.518677,0.07155988,grey,158,0.4249734,0.057002338,grey,4,0.21336,0,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,-0.64,-0.08,-0.05,0.09,-0.04,0.23,-0.59,0.1,0.18,-0.12,0.15,0.24,-0.05,-0.51,0.31,-0.12,0.08,0.09,0.58,-1.56,-0.02,0.5,0.55,0.35,0.68,0.37,-0.94,-0.05,0.02,-0.13,-0.09,0.2,0.2,0.17,0.07,0.17,0.15,-0.12,-0.18,-0.08,-0.31,-0.1,0.05
YCRX01W,NA,NA,NA,NA,NA,NA,0,1100,0.5365625,0.07512946,brown,400,0.4739275,0.058984962,grey,30,0.2860302,0.03908046,grey,12,0.237683,0.01515152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,-0.85,-0.12,0.01,-0.35,0.32,-0.33,0.31,0.1,0.32,0.5,0.14,-0.22,-0.13,0.4,-0.07,0.15,-0.05,-0.21,-1.12,-0.39,-1.49,-0.59,NA,0.46,0.46,NA,0.84,0.88,0.17,0.19,0.12,-0.62,-0.52,-0.31,0.12,0.13,0.24,0.01,0.12,0.02,0.15,0.18
YCRX02C,NA,NA,NA,NA,NA,NA,0,1614,0.5557254,0.09522306,brown,664,0.4834381,0.080998201,red,72,0.3182777,0.074726135,grey,24,0.2624151,0.07971014,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17,-0.43,-0.21,0.12,0.17,-0.28,0.13,-0.53,0.25,0.11,-0.15,0.08,0.23,-0.12,-0.19,0.19,-0.09,0.09,0.22,-0.19,-0.75,-0.53,-0.61,-0.36,-0.15,0.15,0.12,-0.03,0.58,0.57,0.76,0.16,0.16,0.13,-0.29,-0.27,-0.3,0.07,-0.17,-0.24,-0.19,-0.01,0.04,0.15
YCRX03C,NA,NA,NA,NA,NA,NA,0,168,0.492003,0.06743656,grey,18,0.3557513,0.058823529,grey,2,0.1730448,0,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,-0.2,-0.25,-0.07,0,-0.5,0.34,-0.45,0.2,-0.03,0.34,0.25,0.01,-0.07,-0.6,0.28,-0.05,0.43,-0.3,0.29,-0.98,0.02,-0.13,0.51,-0.49,0.29,0.02,0.4,-0.98,0.79,0.28,0.25,0.1,-0.06,0.23,-0.03,0.31,-0.42,-0.18,-0.01,0.16,-0.56,-0.18,0.11
YCRX04W,NA,NA,NA,NA,NA,NA,0,870,0.5275726,0.09038266,pink,298,0.45335,0.086073261,pink,22,0.2696546,0.047619048,grey,2,0.2113669,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18,-0.54,-0.09,-0.58,0.07,-0.24,0.51,-0.38,0.4,0.15,-0.15,-0.15,0.06,-0.11,-0.22,0.37,0.22,0.13,-0.48,0.18,-0.14,-0.17,0.07,0.24,0.51,0.26,0.04,-0.42,-0.3,0.04,0.32,-0.24,-0.03,0.28,0.26,0.2,0.15,0.09,-0.2,-0.05,0.09,-0.59,-0.17,-0.11
YCRX05W,NA,NA,NA,NA,NA,NA,0,576,0.517402,0.07657005,blue,138,0.4222363,0.057759441,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.61,-0.35,-0.04,-0.15,-0.83,-0.13,NA,0.05,0.18,0.6,0.77,0.31,-0.33,-0.66,0.28,0.09,0.48,-0.7,-0.28,-0.17,-0.43,0.35,0.29,0.62,0.27,0.38,NA,-0.17,0.06,0.41,0.17,0.35,-0.21,0.1,-0.05,0.17,-0.16,-0.25,-0.01,-0.04,-0.28,-0.18,-0.03
YCRX06W,NA,NA,NA,NA,NA,NA,0,652,0.5200936,0.0932308,yellow,138,0.4267421,0.079763038,grey,8,0.2541041,0.071428571,grey,2,0.159086,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.15,-0.29,-0.15,0.02,-0.15,0.14,0.02,-0.22,-0.12,0.35,-0.27,0.51,0,0.21,-0.2,0.44,-0.22,-0.17,0.14,0.08,0.75,0.37,-0.09,-0.12,0.18,-0.14,0,-0.86,-0.07,0.44,-0.23,-0.16,-0.18,0.13,0.09,0.06,0.26,0.36,-0.09,0.15,0.07,-0.37,-0.09,-0.01
YCRX09C,NA,NA,NA,NA,NA,NA,0,612,0.5184753,0.08478012,grey,174,0.4412446,0.076473324,red,18,0.2784869,0.052287582,grey,4,0.2056991,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.32,-0.36,-0.15,0.18,0.1,-0.55,0.37,-0.38,0.07,-0.08,0.4,0.06,0.09,-0.15,-0.36,0.22,-0.03,0.1,0.53,-1.64,-0.83,0.53,0.27,0.36,0.82,0.53,0.53,NA,0.61,0.36,0.58,0.04,0.51,-0.5,0.07,-0.04,0.29,-0.16,-0.16,-0.13,0.02,-0.29,-0.27,0.05
YCRX12W,NA,NA,NA,NA,NA,NA,0,1122,0.5374278,0.08655533,blue,500,0.4777207,0.074028056,grey,52,0.2954564,0.051282051,grey,14,0.2108512,0.02197802,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,-0.97,0.42,-0.34,-0.34,-0.05,0.16,0.36,0.19,-0.01,-0.15,-0.07,-0.27,0.02,-0.27,0.14,0.18,0.01,-0.94,-1.36,-0.94,0.52,0.38,0.68,0.38,0.8,0,NA,0.23,0.52,-0.01,-0.1,-0.05,-0.23,0.28,0.31,0.18,-0.12,-0.1,-0.08,0.2,-0.21,-0.03,-0.03
YCRX13W,NA,NA,NA,NA,NA,NA,0,1814,0.5636364,0.11513199,turquoise,920,0.4970172,0.110079481,turquoise,124,0.3287646,0.127720955,turquoise,40,0.2730737,0.13076923,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03,0.32,0,0.14,-0.11,0,-0.3,0.21,-0.24,0.1,0.05,-0.05,-0.03,0.2,-0.17,-0.17,0.18,0.05,0.64,0.23,-0.15,0.27,-0.19,-0.29,-0.35,0.09,0.01,0.18,0.32,-0.26,1.07,0.07,-0.09,-0.22,-0.44,-0.32,-0.52,0.03,0.05,-0.05,-0.1,0.22,-0.03,0.35
YCRX15W,NA,NA,NA,NA,NA,NA,0,616,0.517804,0.10365326,turquoise,188,0.4251542,0.107406986,turquoise,4,0.2074337,0,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,0.39,0.17,0.18,0,0.03,-0.1,0.17,-0.15,-0.04,0.01,-0.17,0.07,0.14,-0.2,-0.17,0.06,-0.04,0.13,-0.48,0.13,0.34,0.4,-0.26,0.5,0.5,0.05,-1.12,0.5,0.58,0.58,-0.08,-0.11,-0.41,-0.29,-0.09,-0.3,-0.01,0.09,0.13,0.2,0.31,-0.3,0.29
YCRX16C,NA,NA,NA,NA,NA,NA,0,1696,0.5588317,0.11171871,turquoise,902,0.4882188,0.114738244,turquoise,186,0.317775,0.123510607,turquoise,72,0.2586268,0.15805947,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.32,0.04,0.31,-0.2,-0.17,0.03,-0.24,0.17,0.26,0.21,-0.05,0.11,-0.26,0.02,-0.04,-0.06,0.17,0.07,-0.88,0.4,0.73,-0.01,-0.11,0.07,0.36,0.1,-0.1,0.69,-0.2,-0.65,-0.41,-0.04,-0.02,0.42,0.7,0.47,0.4,-0.05,-0.25,-0.25,0.04,-0.47,-0.33,-0.21
YCRX17W,NA,NA,NA,NA,NA,NA,0,1240,0.5415764,0.09419147,brown,460,0.4700835,0.084815762,pink,36,0.3015067,0.079365079,grey,10,0.2275579,0.08888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18,0.38,0.01,0.11,-0.04,0.21,-0.02,0.21,-0.03,-0.04,-0.02,-0.16,0.04,0.04,-0.2,-0.02,0.11,-0.03,-0.28,0.08,-0.38,-0.87,-0.28,-0.09,-0.05,-0.2,-0.42,0.55,0.29,0.03,0.03,0.21,-0.13,-0.21,-0.47,-0.31,-0.65,-0.09,0.25,0.25,-0.07,0.34,0.47,0.38
YCRX18C,NA,NA,NA,NA,NA,NA,0,198,0.4897134,0.10654771,grey,116,0.3748594,0.106746627,grey,56,0.2334064,0.085714286,grey,34,0.1666667,0.09269162,4,0.4,0.16666667,grey,NA,NA,NA,NA,0.00E+00,0.2,-0.14,4.76,1.41,-0.36,-0.47,-0.82,-0.49,-0.35,-0.77,-0.79,-0.59,-0.94,-0.87,-0.41,-0.41,-0.26,-0.44,-0.65,-1.27,0.02,0.07,0.22,0.55,0.69,0.17,0.22,-0.09,-0.15,0.35,-0.18,-0.09,0.08,-0.16,0.28,0.14,0.34,-0.22,0,-0.22,0.15,-0.15,-0.07,0.11
YCRX19W,NA,NA,NA,NA,NA,NA,0,950,0.5310757,0.09224558,blue,374,0.4574468,0.08646471,blue,52,0.2904105,0.076168929,red,10,0.2218698,0.08888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0.31,-0.02,0.17,-0.07,0.03,-0.15,0.01,-0.15,0.01,0.26,-0.02,0.12,0.17,-0.24,0.01,-0.02,0.01,-0.16,-1.74,-0.52,-0.63,-0.01,-0.01,0.76,-0.01,0.32,NA,0.2,0.43,0.18,-0.11,-0.09,-0.13,0.22,0.1,-0.17,0.03,0.1,0,0.22,0.12,-0.61,0.15
YCRX20C,NA,NA,NA,NA,NA,NA,0,1066,0.5351981,0.0908737,blue,460,0.4664101,0.08417164,blue,52,0.2963993,0.078431373,red,10,0.224155,0.04444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,-0.22,-0.14,-0.08,-0.05,0.07,-0.03,0,0.24,-0.13,0.01,0.4,0.11,-0.16,-0.1,0.25,-0.05,-0.06,-0.44,-0.82,-1.14,-1.14,0.61,0.32,-0.23,0.38,0.32,NA,0.25,0.9,-0.22,0.03,0.05,-0.01,0.16,-0.04,0.08,-0.1,0.15,0.15,0.05,0.18,-0.37,-0.12
YDL003W,S000002161,MCD1,1701,mitotic sister chromatid cohesion,NA,nuclear cohesin complex,1,1114,0.5365625,0.10645045,yellow,682,0.4716914,0.111393888,brown,328,0.306119,0.107947341,blue,240,0.2597012,0.10749651,64,0.61946903,0.09077381,turquoise,18,0.5,0.07843137,blue,3.47E+02,2.56,-1.32,-1.22,1.34,1.5,0.63,0.29,-0.55,-0.65,-0.76,-0.88,0.69,1.25,0.62,-0.36,-0.04,-0.55,-0.55,NA,0.23,1.45,0.84,0,-0.4,-0.77,-1.1,-1.47,0.67,1.27,NA,-0.89,-1.54,-0.92,0.37,0.89,1.14,0.89,0.83,-0.03,-0.01,0.19,-0.35,-0.65,0.06
YDL004W,S000002162,ATP16,483,ATP synthesis coupled proton transport,hydrogen-transporting ATP synthase activity rotational mechanism,proton-transporting ATP synthase central stalk (sensu Eukarya),1,636,0.5195531,0.07566979,grey,156,0.4296766,0.061952026,grey,6,0.2299099,0,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.71,0,-0.36,-0.06,0.45,-0.42,0.35,-0.34,0.1,-0.18,0.15,0.24,-0.01,0,-0.05,0.08,0.05,0,-0.51,-0.27,-0.7,-0.27,0.38,-0.04,-0.19,0.07,-0.21,0.64,0.47,NA,0.47,0.15,0.08,-0.3,-0.04,0.27,0.18,-0.04,-0.09,0,0.05,-0.1,-0.25,-0.39
YDL005C,S000002163,MED2,1296,transcription from Pol II promoter,RNA polymerase II transcription mediator activity,mediator complex,0,450,0.5120359,0.08327642,green,110,0.414576,0.080900751,grey,4,0.2377889,0,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,-0.54,-0.18,-0.07,0.16,-0.16,0.37,-0.71,0.22,-0.12,-0.01,0.11,0.2,-0.26,-0.38,0.31,0.05,0.27,-0.44,-0.1,-0.32,-0.28,0.23,-0.1,0.18,0.24,-0.06,-0.07,0.27,0.02,0.81,-0.03,-0.15,0.35,0.15,0.08,0.03,0.11,-0.36,-0.36,-0.21,-0.21,-0.12,-0.07
YDL006W,S000002164,PTC1,846,response to osmotic stress,protein phosphatase type 2C activity,cytoplasm,0,200,0.4970172,0.05437186,grey,34,0.366343,0.055258467,grey,2,0.1740844,0,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.56,-0.58,-0.3,-0.2,0.05,-0.32,0.28,-0.03,0.09,-0.22,0.28,0.21,0.12,-0.18,-0.32,0.17,0.05,-0.01,-0.49,-0.12,0.51,0.38,-0.45,0.17,-0.16,-0.14,-0.11,0.1,0.19,0.4,0.63,0.03,0.46,-0.8,0.19,0.09,0.17,-0.17,-0.12,-0.17,0.06,-0.09,-0.21,-0.09
YDL007W,S000002165,RPT2,1314,ubiquitin-dependent protein catabolism,ATPase activity,proteasome regulatory particle (sensu Eukarya),1,406,0.510728,0.07726084,purple,112,0.4081029,0.060649936,grey,8,0.2345855,0,grey,4,0.1419255,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.06,-0.54,-0.15,0.23,-0.21,-0.01,-0.05,-0.29,-0.03,0.44,-0.02,0.58,0.22,-0.18,-0.21,0.31,-0.27,-0.03,-0.41,0,-0.16,-0.43,-0.26,-0.25,0.06,-0.06,-0.21,0.2,0.22,-0.06,0.38,0.2,-0.6,0.08,-0.44,-0.31,-0.09,0.32,-0.06,-0.01,-0.23,0.26,0.24,0.26
YDL008W,S000002166,APC11,498,ubiquitin-dependent protein catabolism,protein binding,anaphase-promoting complex,1,190,0.4937037,0.07123364,grey,64,0.3807846,0.05406746,grey,12,0.2107652,0.015151515,grey,6,0.1613576,0.06666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.94,-0.6,-0.24,-0.22,0.23,-0.53,0.41,-0.32,0.16,-0.12,0.32,0.13,0.03,0.06,-0.44,0.17,0.01,0.32,-0.25,0.54,0.26,-0.05,-0.33,-0.08,0.24,-0.16,-0.16,-0.13,-0.13,-0.14,0.62,0.1,-0.24,-1.07,0.04,0.1,0.35,-0.02,0.1,-0.2,0.09,-0.02,0.04,0.1
YDL009C,NA,NA,NA,NA,NA,NA,0,786,0.524459,0.11912611,yellow,444,0.4375752,0.139446444,brown,130,0.2716975,0.185092427,blue,60,0.2314662,0.17175141,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,-0.74,-0.46,0.81,0.78,0.54,0.32,-0.54,-0.17,-0.25,-0.62,0.18,0.18,0.22,-0.16,0.18,-0.5,-0.39,-0.37,-0.27,0.77,0.26,0.26,-0.28,-0.17,-0.59,-0.54,0.25,0.55,-0.03,0.43,-0.48,-0.46,-0.03,0.11,0.2,0.32,0.46,-0.03,-0.23,0.2,-0.21,-0.09,-0.18
YDL010W,S000002168,NA,696,NA,NA,vacuole (sensu Fungi),0,816,0.5252857,0.10478167,yellow,400,0.4472154,0.136265664,brown,72,0.2641289,0.203834116,blue,28,0.2271357,0.18253968,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,-0.64,-0.58,0.67,0.92,0.09,0.41,-0.3,-0.21,-0.45,-0.11,0.21,0.24,0.14,-0.24,-0.09,-0.33,-0.26,-0.19,-0.75,0.87,0.59,0.26,-0.36,-0.45,-0.55,-0.34,0.35,0.55,0.4,0.32,-0.21,-0.14,-0.79,-0.14,0.26,0.39,0.17,0.01,-0.16,0.15,0.08,-0.07,0.14
YDL011C,NA,NA,NA,NA,NA,NA,0,680,0.521314,0.11174305,yellow,306,0.4307411,0.146983821,brown,42,0.2578303,0.210220674,grey,16,0.2087834,0.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,-0.94,-0.47,0.37,0.5,0.33,0.26,-0.62,-0.18,-0.12,-0.38,0.38,0.08,0.08,-0.26,0.3,-0.29,0.05,-0.48,-0.84,0.72,0.65,0.4,-0.17,-0.54,-0.39,-0.2,0.28,0.69,0.22,0.31,-0.45,NA,0,0.09,0.09,0.25,0.34,-0.09,-0.21,0,-0.29,0.15,-0.17
YDL012C,S000002170,NA,410,NA,NA,plasma membrane,0,354,0.5076161,0.0782798,grey,88,0.3995404,0.062434692,grey,6,0.2219227,0.066666667,grey,2,0.1840506,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.92,-0.42,-0.28,-0.26,-0.17,-0.57,0.12,-0.26,0.11,0.13,0.22,0.37,-0.02,0.13,0.02,0.31,-0.06,0.15,-0.19,0.03,0.04,-0.12,0.52,-0.19,0.02,0.01,-0.28,0.34,-0.06,-0.28,-0.11,-0.04,-0.13,-0.79,-0.16,0.07,0.23,0.32,0.08,0.2,-0.11,0.18,0.08,0.17
YDL013W,S000002171,HEX3,1860,sporulation (sensu Fungi),DNA binding,nucleus,0,168,0.4929126,0.0605931,grey,24,0.3514369,0.086956522,grey,2,0.1730282,0,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4,-1.09,-0.53,-0.36,0.31,0.28,-0.15,-0.36,-0.12,-0.03,-0.09,0.49,-0.2,0.14,0.59,0.18,-0.11,-0.09,0.14,0,-0.08,0.18,-0.03,0,-0.06,0.19,0.16,-0.11,-0.06,0.24,0.32,-0.1,-0.13,0.43,0.15,0.25,0.09,0.34,-0.13,-0.06,-0.31,-0.6,-0.43,0.17
YDL014W,S000002172,NOP1,984,rRNA modification,methyltransferase activity,nucleolus,1,1594,0.5546463,0.13145577,turquoise,942,0.4862006,0.124969822,turquoise,346,0.3205593,0.108955349,brown,214,0.2735823,0.0996446,6,0.1656051,0,grey,NA,NA,NA,NA,2.38E+02,-0.62,0.19,0.24,-0.57,-0.55,0.08,-0.09,0.3,0.02,0.2,0.03,0.01,-0.11,0.31,0.13,-0.08,0.47,0.11,-0.57,-0.05,0.2,0.08,0.23,-0.49,-0.08,-0.01,-0.4,0.56,0.06,-0.4,-0.77,-0.14,-0.1,0.1,0.77,0.49,-0.18,0.11,0.01,0.24,0.29,-0.42,-0.27,-0.14
YDL017W,S000002175,CDC7,1524,protein amino acid phosphorylation,protein serine/threonine kinase activity,nucleoplasm,1,1078,0.5359153,0.08495219,brown,358,0.4629008,0.071107773,green,8,0.2527741,0,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.56,0.28,0.46,0,0.33,0.06,0.15,-0.09,-0.21,-0.2,-0.03,-0.2,0.08,-0.2,-0.17,-0.25,-0.03,0.07,0.45,0.59,0.33,-0.26,0.32,0.01,0.03,-0.07,-0.05,-0.32,0.09,-0.09,-0.02,-0.09,0.41,0.42,0.32,0.42,0.02,-0.15,-0.48,0.24,-0.41,-0.38,-0.22
YDL018C,S000002176,ERP3,678,secretory pathway,NA,integral to membrane,0,1146,0.5382234,0.08925063,yellow,596,0.4709138,0.097659466,brown,192,0.294328,0.14414267,blue,108,0.244304,0.15974386,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,-0.36,-0.24,0.72,0.89,0.45,0.22,0.07,-0.53,-0.61,-0.24,-0.06,0.26,0.4,-0.14,-0.55,-0.13,-0.51,-0.27,0.43,1.29,0.78,-0.64,-0.37,-0.81,-1.18,-0.72,0.41,0.74,0.47,-0.43,-0.02,-0.02,-0.33,0.11,0.23,-0.29,0.2,0.1,-0.16,0.17,0.17,0.04,0.23
YDL019C,S000002177,OSH2,3852,steroid biosynthesis,oxysterol binding,plasma membrane,0,864,0.5274334,0.09988037,brown,222,0.4396438,0.091394562,pink,8,0.2611015,0.035714286,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.69,-0.92,-0.27,0.46,-0.18,0.2,0.15,0.01,-0.21,-0.16,-0.02,0.45,-0.34,-0.06,0.05,0.06,0.01,0.06,-0.26,-0.28,-0.23,-0.23,-0.16,-0.17,-0.04,-0.24,-0.16,0.55,0.42,-0.02,0.24,0.2,0.08,-0.1,-0.48,-0.55,-0.23,0.03,0.23,-0.25,-0.14,0.43,0.31,0.22
YDL020C,S000002178,RPN4,1596,ubiquitin-dependent protein catabolism,transcriptional activator activity,proteasome regulatory particle (sensu Eukarya),0,1660,0.5574296,0.10530513,turquoise,736,0.4857872,0.099959332,turquoise,60,0.3159456,0.092090395,grey,16,0.2734041,0.13333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.69,0.11,-0.12,0.21,0.01,0,0.07,0.2,0.04,0.09,-0.05,-0.13,-0.04,0.01,-0.04,-0.12,0.09,0.04,-0.04,-0.12,0.09,-0.14,-0.34,0.03,0.11,0.23,0.34,-0.01,-0.36,-0.04,1.36,0.55,0.01,-0.25,-0.37,-0.33,-0.76,-0.41,-0.06,-0.09,-0.06,0.28,0.05,0.08
YDL021W,S000002179,GPM2,936,gluconeogenesis,NOT phosphoglycerate mutase activity,cytoplasm,0,1872,0.5660297,0.10985658,turquoise,940,0.5,0.103899576,turquoise,142,0.3363358,0.09949056,black,72,0.2935651,0.09350548,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.04,-0.17,0.12,0.6,0.11,0.46,0.04,0.22,0.13,-0.02,0.09,-0.43,-0.4,-0.16,-0.27,-0.05,-0.06,-0.2,NA,0.13,-0.81,0.35,0.35,-0.03,-0.81,-0.46,-0.25,0.08,0.1,0.63,2.07,0.56,0.34,0.38,-0.18,-0.73,-0.65,-0.49,-0.22,-0.54,-0.39,0.03,-0.28,0.11
YDL022W,S000002180,GPD1,1176,intracellular accumulation of glycerol,glycerol-3-phosphate dehydrogenase (NAD+) activity,cytoplasm,0,2168,0.5781408,0.0922688,turquoise,1098,0.5131528,0.085175167,turquoise,222,0.348035,0.078961314,grey,94,0.2985166,0.09174102,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42,0.78,1.05,NA,0.17,-0.4,0,0.11,-0.44,-0.52,-0.14,-0.19,-0.22,-0.12,0.05,-0.31,0.1,-0.14,NA,0.11,-1.05,-0.8,-0.4,-0.76,-0.59,-0.37,0.18,1.04,0.77,0.59,1.47,0.42,0.46,-0.1,-0.58,-0.64,-0.94,-0.26,-0.12,-0.5,-0.27,0.41,0.29,0.35
YDL023C,NA,NA,NA,NA,NA,NA,0,2236,0.5811655,0.10322844,turquoise,1294,0.52145,0.090327061,turquoise,284,0.3524032,0.091897676,green,160,0.2974889,0.08215409,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.06,0.36,0.98,1.22,-0.04,-0.19,0,-0.16,-0.42,-0.68,-0.29,-0.14,-0.57,-0.32,0.09,-0.07,-0.17,-0.46,1.27,0.18,-0.99,-0.63,-0.49,-0.74,-0.65,-0.55,0.13,0.4,0.58,0.67,1.61,0.38,0.43,0.14,-0.34,-0.78,-0.53,-0.36,-0.04,-0.62,-0.42,0.25,0.11,0.17
YDL024C,S000002182,DIA3,1407,pseudohyphal growth,acid phosphatase activity,cell wall (sensu Fungi),0,1300,0.5440076,0.08069995,blue,516,0.4808802,0.07301874,purple,64,0.3064039,0.050595238,grey,22,0.2405239,0.01298701,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.25,-0.01,0.02,NA,-0.22,-0.1,-0.27,0,-0.18,0.06,-0.15,-0.1,-0.17,-0.06,-0.18,-0.34,-0.18,-0.22,2.51,1.1,-0.61,0.16,-1.1,0.04,-0.25,0.16,-0.25,0.16,-0.61,-0.1,0.33,-0.05,0.04,-0.09,-0.23,-0.19,-0.39,-0.13,0.24,0.11,-0.09,0.28,0,0.16
YDL025C,S000002183,NA,1863,NA,protein kinase activity,NA,0,1274,0.5428998,0.12373027,turquoise,480,0.4595495,0.112891441,turquoise,26,0.2872551,0.086153846,grey,6,0.2066395,0.06666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.09,-0.12,-0.36,0.33,0.05,0.16,0.02,0.08,-0.12,-0.1,-0.21,0.52,-0.58,-0.29,0.07,0.03,NA,-0.22,0.76,-0.46,-0.32,0.06,-0.42,-0.09,-0.97,-0.01,0.24,0.21,0.16,0.42,1.07,-0.05,0.09,0.33,0.04,-0.44,-0.14,0.06,-0.06,-0.3,-0.19,-0.06,-0.3,-0.05
YDL026W,NA,NA,NA,NA,NA,NA,0,1406,0.5476582,0.12583286,turquoise,614,0.474096,0.122673242,turquoise,56,0.3068971,0.084415584,grey,14,0.2387453,0.04395604,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.79,-0.47,-0.03,0.45,0.4,-0.24,0.11,-0.58,-0.18,-0.14,0,0.38,0.05,-0.03,-0.16,0.25,0.01,0.09,0.76,-0.82,-0.16,0.18,-0.16,-0.16,-0.41,-0.41,0.23,-0.02,0.45,0.68,1.32,0.3,0.2,-0.91,-0.52,-0.11,-0.01,-0.04,-0.14,-0.26,0.13,0.09,-0.04,-0.02
YDL027C,S000002185,NA,1263,NA,NA,mitochondrion,0,1450,0.5494641,0.10776136,turquoise,560,0.4751099,0.107852032,turquoise,56,0.3041142,0.07012987,grey,12,0.2428099,0.04545454,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.64,-0.47,0.26,0.86,0.37,0.05,-0.04,-0.8,-0.43,-0.17,-0.28,0.24,0.16,-0.19,-0.26,0.03,-0.26,-0.02,0.36,0.15,-0.57,0.05,-0.5,-0.13,-1,0.01,0.19,0.11,0.46,0.26,1.42,-0.28,0.12,0.47,-0.09,-0.28,-0.29,0.09,-0.26,-0.48,-0.06,0.02,-0.34,-0.04
YDL028C,S000002186,MPS1,2295,mitotic spindle checkpoint,protein threonine/tyrosine kinase activity,spindle pole body,1,726,0.522199,0.08933219,grey,230,0.4363339,0.076855895,grey,8,0.2524746,0.035714286,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45,-0.29,-0.68,-0.6,NA,-0.13,0.21,-0.27,0.15,0.31,0.33,0.07,-0.03,0.18,-0.1,0.41,0.07,0.1,-0.79,-0.28,-0.48,0.17,0.02,0.66,0.29,0.46,0.29,-0.25,0,0.02,0.48,-0.17,-0.32,NA,-0.34,-0.05,-0.07,0.13,0.18,0.06,0.2,0.04,-0.22,0.08
